,0,1,2,3,4,5,6,7,8,9
0,This Side of Paradise, (New York: ,Charles Scribner's Sons,", 1920)",,,,,,
1,The Beautiful and Damned," (New York: Scribners, 1922)",,,,,,,,
2,The Great Gatsby," (New York: Scribners, 1925)",,,,,,,,
3,Tender Is the Night," (New York: Scribners, 1934)",,,,,,,,
4,The Last Tycoon," (New York: Scribners, unfinished, published posthumously, 1941), reissued under the original title ",The Love of The Last Tycoon, in 1993.,,,,,,
5,The Diamond as Big as the Ritz, (1922) (in ,Tales of the Jazz Age,),,,,,,
6,May Day, (1922) (in ,Tales of the Jazz Age,),,,,,,
7,The Rich Boy, (1926) (in ,All the Sad Young Men,),,,,,,
8,Flappers and Philosophers," (New York: Scribners, 1920)",,,,,,,,
9,Tales of the Jazz Age," (New York: Scribners, 1922)",,,,,,,,
10,All the Sad Young Men," (New York: Scribners, 1926)",,,,,,,,
11,Taps at Reveille," (New York: Scribners, 1935)",,,,,,,,
12,Afternoon of an Author," (New York: Scribners, 1957)",,,,,,,,
13,Babylon Revisited and Other Stories," (New York: Scribners, 1960)",,,,,,,,
14,The Pat Hobby Stories," (Esquire Magazine, 1940–41)",,,,,,,,
15,The Basil and Josephine Stories," (New York: Scribners, 1973)",,,,,,,,
16,The Price Was High: Fifty Uncollected Stories," (New York: Harcourt Brace Jovanovich, 1979)",,,,,,,,
17,The Short Stories of F. Scott Fitzgerald," (New York: Scribners, 1989)",,,,,,,,
18,I'd Die For You. And Other Lost Stories,", edited by: Anne Margaret Daniel (New York: ",Simon & Schuster,", April 2017)",[64],[65],,,,
19,"""",Bernice Bobs Her Hair,""" (1920) (in ",Flappers and Philosophers,),,,,,
20,"""",Head and Shoulders,""" (1920) (in ",Flappers and Philosophers,),,,,,
21,"""",The Ice Palace,""" (1920) (in ",Flappers and Philosophers, and ,Babylon Revisited and Other Stories,),,,
22,"""",The Offshore Pirate,""" (1920) (in ",Flappers and Philosophers,),,,,,
23,"""",The Curious Case of Benjamin Button,""" (1921) (in ",Tales of the Jazz Age,),,,,,
24,"""",Winter Dreams,""" (1922) (in ",All the Sad Young Men,),,,,,
25,"""",The Baby Party,""" (1925) (in ",All the Sad Young Men,),,,,,
26,"""",The Freshest Boy,""" (1928) (in ",Taps at Reveille,),,,,,
27,"""",The Bridal Party,""" (1930)",,,,,,,
28,"""",A New Leaf,""" (1931)",,,,,,,
29,"""",Babylon Revisited,""" (1931) (in ",Babylon Revisited and Other Stories,),,,,,
30,"""",Crazy Sunday,""" (1932) (in ",Babylon Revisited and Other Stories,),,,,,
31,"The Vegetable, or From President to Postman"," – Play (New York: Scribners, 1923)",,,,,,,,
32,The Crack-Up," – Collection of essays, notebook excerpts, and letters (New York: New Directions, 1945)",,,,,,,,
33,^, ,"""As Big as the Ritz: The Mythology of the Fitzgeralds""",. ,The New Yorker,. Retrieved ,"October 1,", 2018,.,"
"
